,0,1
0,1606173556811,18316.10206557726
1,1606177044644,18273.49242736728
2,1606181004181,18450.612950056337
3,1606184361569,18390.49894588869
4,1606187723077,18332.29371727462
5,1606191561440,18349.033018504924
6,1606194969792,18374.112234386525
7,1606198029568,18303.95125340265
8,1606201977184,18407.624006507936
9,1606205144691,18369.32981940183
10,1606209291978,18646.410088130724
11,1606213246424,18870.302731477743
12,1606216396325,18847.52497776375
13,1606220202069,18955.419664092464
14,1606223750298,19205.255878581866
15,1606226691681,19143.582167737062
16,1606230773573,19305.513819955944
17,1606234417911,19315.000211744744
18,1606237715845,19257.225816896134
19,1606241189810,19135.703235051024
20,1606245256931,19192.871931631187
21,1606249215614,19139.487098837904
22,1606252332722,19017.57163491637
23,1606255553315,18895.563974252353
